codice;denominazione;ubicazione;comune;coordinata_x;coordinata_y;latitudine;longitudine;codice_zona
71525;MELADELLO BIVIO;VIA TORRENTE VENOLA BV MELADELLO;MARZABOTTO;670645;911955;44,339041;11,139588;569
71526;MELADELLO BIVIO;VIA TORRENTE VENOLA FR BV MELADELLO;MARZABOTTO;670646;911947;44,338969;11,139598;569
71529;MAGAROLO;VIA VENOLA KM. 5+450;SAVIGNO;669599;912199;44,341482;11,126555;566
71530;MAGAROLO;VIA VENOLA KM. 5+450;SAVIGNO;669599;912190;44,341401;11,126552;566
71533;VEDEGHETO CASEIFICIO;VIA VENOLA FR 33;SAVIGNO;668842;912475;44,344141;11,117154;566
71534;VEDEGHETO CASEIFICIO;VIA VENOLA 33;SAVIGNO;668844;912468;44,344078;11,117177;566
71537;VEDEGHETO;VIA VENOLA FR BV VEDEGHETO;SAVIGNO;668543;912494;44,344381;11,113412;566
71538;VEDEGHETO;VIA VENOLA BV VEDEGHETO;SAVIGNO;668536;912488;44,344329;11,113322;566
71541;VEDEGHETO POGGIO;VIA VENOLA 55;SAVIGNO;668261;912823;44,347407;11,109983;566
71542;VEDEGHETO POGGIO;VIA VENOLA FR 55;SAVIGNO;668259;912817;44,347353;11,109956;566
71545;CASA LA CUCCOLA;VIA VENOLA KM. 8+700;SAVIGNO;667931;912935;44,348491;11,105881;566
71546;CASA LA CUCCOLA;VIA VENOLA KM. 8+700;SAVIGNO;667926;912932;44,348465;11,105818;566
71549;CASA CASELLO;VIA VENOLA 105;SAVIGNO;667454;912985;44,349051;11,099917;566
71550;CASA CASELLO;VIA VENOLA FR 105;SAVIGNO;667458;912980;44,349005;11,099965;566
71553;CASA COSTA;VIA VENOLA 121;SAVIGNO;666921;912967;44,349012;11,093228;566
71554;CASA COSTA;VIA VENOLA FR 121;SAVIGNO;666922;912960;44,348948;11,093238;566
71557;RONCHESANO;VIA VENOLA KM. 10+350;SAVIGNO;666636;912632;44,346063;11,089547;566
71558;RONCHESANO;VIA VENOLA KM. 10+350;SAVIGNO;666646;912635;44,346088;11,089674;566
71561;CASE BORTOLANI DI SOTTO;VIA VENOLA FR 26;SAVIGNO;666294;912534;44,34526;11,085228;566
71562;CASE BORTOLANI DI SOTTO;VIA VENOLA 26;SAVIGNO;666295;912526;44,345188;11,085238;566
71565;CASE BORTOLANI SCUOLE;VIA VENOLA FR 21/A;BORTOLANI;665861;912317;44,343406;11,079731;566
71566;CASE BORTOLANI SCUOLE;VIA VENOLA 21/A;BORTOLANI;665865;912299;44,343244;11,079775;566
72001;CASTEL DI CASIO CASA NUOV;VIA PROVINCIALE 2;CASTEL DI CASIO;662634;892829;44,168795;11,033219;580
72002;CASTEL DI CASIO CASA NUOV;VIA PROVINCIALE FR 2;CASTEL DI CASIO;662647;892822;44,168729;11,033379;580
72005;CASTEL DI CASIO CABINA EN;VIA GARIBALDI 7;CASTEL DI CASIO;662651;892176;44,162915;11,033229;580
72006;CASTEL DI CASIO CABINA EN;VIA GARIBALDI FR 7;CASTEL DI CASIO;662654;892184;44,162987;11,033269;580
72008;CASTEL DI CASIO SCUOLE;VIA DEGLI ALBERGHI 10;CASTEL DI CASIO;662739;892194;44,163058;11,034335;580
72009;CASTEL DI CASIO;VIA MARCONI 15;CASTEL DI CASIO;662924;892155;44,162666;11,036635;580
72010;CASTEL DI CASIO;PIAZZA ROMA 8;CASTEL DI CASIO;662898;892134;44,162483;11,036304;580
72012;CASTEL DI CASIO GARIBALDI;VIA GARIBALDI 20;CASTEL DI CASIO;662833;892208;44,163163;11,035514;580
72013;PILASTRINA;VIA PROVINCIALE BV PILASTRINA;CASTEL DI CASIO;663179;891681;44,158344;11,039676;580
72014;PILASTRINA;VIA PROVINCIALE FR BV PILASTRINA;CASTEL DI CASIO;663174;891682;44,158354;11,039613;580
72401;CASALECCHIO LIDO;VIA RONZANI FR 49;CASALECCHIO DI RENO;681241;926691;44,469037;11,277548;507
72402;CASALECCHIO LIDO;VIA RONZANI 37;CASALECCHIO DI RENO;681232;926841;44,470388;11,277487;507
72405;CASALECCHIO RONZANI;VIA RONZANI FR 26;CASALECCHIO DI RENO;681287;926238;44,46495;11,277967;507
72406;CASALECCHIO RONZANI;VIA RONZANI 26;CASALECCHIO DI RENO;681293;926285;44,465371;11,278059;507
72409;CASALECCHIO C.S. ALLENDE;VIA RONZANI 54;CASALECCHIO DI RENO;681378;925848;44,461419;11,278974;507
72410;CASALECCHIO C.S. ALLENDE;VIA RONZANI FR 54;CASALECCHIO DI RENO;681377;925866;44,461581;11,278968;507
72413;SAN BIAGIO MICCA;VIA MICCA 29;CASALECCHIO DI RENO;681073;925382;44,457303;11,27498;507
72414;SAN BIAGIO MICCA;VIA MICCA 12;CASALECCHIO DI RENO;681031;925365;44,457161;11,274447;507
72417;SAN BIAGIO CEFALONIA;VIA CADUTI DI CEFALONIA FR 7;CASALECCHIO DI RENO;681034;925216;44,45582;11,274432;507
72418;SAN BIAGIO CEFALONIA;VIA DELLA RESISTENZA 34;CASALECCHIO DI RENO;681016;925154;44,455267;11,274184;507
72421;SAN BIAGIO RESISTENZA;VIA DELLA RESISTENZA AREA MANOVRA;CASALECCHIO DI RENO;680793;925154;44,455322;11,271384;507
73001;VERGATO DI VITTORIO;VIA DI VITTORIO FR 15;VERGATO;668237;905620;44,282608;11,10736;569
73002;VERGATO DI VITTORIO;VIA DI VITTORIO 15;VERGATO;668234;905612;44,282536;11,10732;569
73003;VERGATO MINGHETTI;VIA MINGHETTI 138;VERGATO;667885;905705;44,283454;11,102979;569
73004;VERGATO MINGHETTI;VIA MINGHETTI FR 138;VERGATO;667885;905698;44,283391;11,102977;569
73005;CASA LUPO;VIA PROVINCIALE 156;VERGATO;667383;906209;44,288104;11,096853;569
73006;CASA LUPO;VIA PROVINCIALE FR 156;VERGATO;667384;906216;44,288166;11,096868;569
73007;CASA MARMOCCHI;VIA PROVINCIALE 1;VERGATO;667967;906165;44,287573;11,104154;569
73008;CASA MARMOCCHI;VIA PROVINCIALE FR 1;VERGATO;667999;906176;44,287665;11,104558;569
73009;SPEZZOLA;VIA PROVINCIALE 4;VERGATO;667732;906511;44,29074;11,101321;569
73010;SPEZZOLA;VIA PROVINCIALE FR 4;VERGATO;667727;906506;44,290697;11,101257;569
73013;IL MURO;VIA PROVINCIALE FR BV MARANO;VERGATO;667116;906991;44,295201;11,093759;569
73014;IL MURO;VIA PROVINCIALE BV MARANO;VERGATO;667110;906986;44,295157;11,093682;569
73017;SUSANO;VIA PROVINCIALE FR 44;SUSANO;666599;907385;44,298864;11,087408;569
73018;SUSANO;VIA PROVINCIALE 44;VERGATO;666582;907384;44,298859;11,087195;569
73021;SUSANO LA CA`;VIA PROVINCIALE FR 58;VERGATO;666011;907534;44,300339;11,080089;569
73022;SUSANO LA CA`;VIA PROVINCIALE 58;VERGATO;666014;907528;44,300285;11,080125;569
73025;MONTICELLO;VIA PROVINCIALE FR BV PAGANELLO;VERGATO;665078;907422;44,299544;11,068365;568
73026;MONTICELLO;VIA PROVINCIALE BV PAGANELLO;VERGATO;665070;907422;44,299546;11,068265;568
73029;PRA` DI CEREGLIO;VIA PROVINCIALE BV VIA DELLO SPORT;CEREGLIO;665484;907618;44,301215;11,073514;568
73030;PRA` DI CEREGLIO;VIA PROVINCIALE FR BV VIA DELLO SPORT;VERGATO;665484;907608;44,301125;11,073511;568
